Group,SampleID,pc1end,pc2end,Roost,CollectionMonth,Site,Labeler,pc1start,pc2start,DistMethod,Pid
EN-B-September,9152017EgnerPoolB1,-0.315862462548078,-0.0811666062428266,B,September,EN,EN-B,-0.160643164637626,-0.0804838026876156,morisita,pid=99
EN-B-September,9152017EgnerB1,-0.218764939043529,-0.0594621815969023,B,September,EN,EN-B,-0.160643164637626,-0.0804838026876156,morisita,pid=99
EN-B-September,9152017EgnerB2,-0.125644219950494,-0.0580652274701144,B,September,EN,EN-B,-0.160643164637626,-0.0804838026876156,morisita,pid=99
EN-B-September,9152017EgnerB3,-0.165659482701324,-0.117818369036157,B,September,EN,EN-B,-0.160643164637626,-0.0804838026876156,morisita,pid=99
EN-B-September,9152017EgnerPoolB2,-0.318839946462678,-0.102174647343893,B,September,EN,EN-B,-0.160643164637626,-0.0804838026876156,morisita,pid=99
EN-B-September,9152017EgnerPoolB3,-0.320723111583787,-0.092791227404402,B,September,EN,EN-B,-0.160643164637626,-0.0804838026876156,morisita,pid=99
EN-C-July,7272017EGC9,0.15965196962434,0.032772856271394,C,July,EN,EN-C,-0.074155551943886,-0.101993913469003,morisita,pid=99
EN-C-July,7272017EGC10,-0.0626523252811925,-0.0719104008264395,C,July,EN,EN-C,-0.074155551943886,-0.101993913469003,morisita,pid=99
EN-C-July,7272017EGC2,-0.222122902164462,-0.326310339771742,C,July,EN,EN-C,-0.074155551943886,-0.101993913469003,morisita,pid=99
EN-C-July,7272017EGC3,0.100075663801529,0.0222764743298985,C,July,EN,EN-C,-0.074155551943886,-0.101993913469003,morisita,pid=99
EN-C-July,7272017EGC4,-0.222605384552827,-0.330913270144944,C,July,EN,EN-C,-0.074155551943886,-0.101993913469003,morisita,pid=99
EN-C-July,7272017EGC5,-0.219556150271527,-0.330557410520842,C,July,EN,EN-C,-0.074155551943886,-0.101993913469003,morisita,pid=99
EN-C-July,7272017EgnerPoolC1,0.00637762586072324,-0.0500801858079024,C,July,EN,EN-C,-0.074155551943886,-0.101993913469003,morisita,pid=99
EN-C-July,7272017EgnerPoolC2,-0.0741749915363362,0.04778420280561,C,July,EN,EN-C,-0.074155551943886,-0.101993913469003,morisita,pid=99
EN-C-July,7272017EgnerPoolC3,0.0025618388163675,-0.0232285794821126,C,July,EN,EN-C,-0.074155551943886,-0.101993913469003,morisita,pid=99
EN-C-July,7272017EgnerPoolC4,-0.118947685075385,-0.112747929156815,C,July,EN,EN-C,-0.074155551943886,-0.101993913469003,morisita,pid=99
EN-C-July,7272017EGC6,-0.122122144503182,-0.0746935451370298,C,July,EN,EN-C,-0.074155551943886,-0.101993913469003,morisita,pid=99
EN-C-July,7272017EGC7,-0.108491360023077,-0.0524522371579647,C,July,EN,EN-C,-0.074155551943886,-0.101993913469003,morisita,pid=99
EN-C-July,7272017EGC8,-0.137079603275665,-0.0662231130383824,C,July,EN,EN-C,-0.074155551943886,-0.101993913469003,morisita,pid=99
EN-C-June,6212017EGC1,0.397958285673414,-0.0293487802037281,C,June,EN,EN-C,0.242563517739207,-0.0455562072664582,morisita,pid=99
EN-C-June,6212017EGC10,-0.192702746365299,-0.328540767244376,C,June,EN,EN-C,0.242563517739207,-0.0455562072664582,morisita,pid=99
EN-C-June,6212017EGC2,0.480941897431579,0.0247568434243096,C,June,EN,EN-C,0.242563517739207,-0.0455562072664582,morisita,pid=99
EN-C-June,6212017EGC3,0.443596948653522,-0.0201563579616535,C,June,EN,EN-C,0.242563517739207,-0.0455562072664582,morisita,pid=99
EN-C-June,6212017EGC4,0.501126622275383,0.0353321608745728,C,June,EN,EN-C,0.242563517739207,-0.0455562072664582,morisita,pid=99
