SampleID,SampleType,BatchType,Roost,CollectionMonth,Site,sumNonBatReads,nASVs,Myotis lucifugus,Myotis sodalis,Nycticeius humeralis,multihit,sumBatReads
9152017EgnerD1,sample,single,D,9,Egner,28804,37,NA,39,NA,FALSE,39
9152017EgnerD2,sample,single,D,9,Egner,85390,53,NA,62,NA,FALSE,62
9152017EgnerD3,sample,single,D,9,Egner,123919,53,NA,NA,NA,NA,NA
9152017EgnerD4,sample,single,D,9,Egner,32452,49,NA,21,NA,FALSE,21
9152017EgnerPoolB1,sample,pool,B,9,Egner,42999,72,NA,NA,NA,NA,NA
9152017EgnerPoolB2,sample,pool,B,9,Egner,22661,52,NA,NA,NA,NA,NA
9152017EgnerPoolB3,sample,pool,B,9,Egner,58444,78,NA,NA,NA,NA,NA
9152017EgnerPoolB4,sample,pool,B,9,Egner,22174,55,NA,NA,NA,NA,NA
9152017EgnerPoolC1,sample,pool,C,9,Egner,22687,15,NA,NA,NA,NA,NA
9152017EgnerPoolC2,sample,pool,C,9,Egner,31421,17,NA,761,NA,FALSE,761
9152017EgnerPoolC3,sample,pool,C,9,Egner,32349,16,NA,NA,NA,NA,NA
9152017EgnerPoolC4,sample,pool,C,9,Egner,31964,15,NA,NA,NA,NA,NA
9152017EgnerPoolD1,sample,pool,D,9,Egner,17901,46,NA,NA,NA,NA,NA
9152017EgnerPoolD2,sample,pool,D,9,Egner,14441,43,NA,NA,NA,NA,NA
9152017EgnerPoolD3,sample,pool,D,9,Egner,22776,55,NA,NA,NA,NA,NA
9152017EgnerPoolD4,sample,pool,D,9,Egner,20193,41,NA,NA,NA,NA,NA
9152017HBA1,sample,single,A,9,HickoryBottoms,23751,22,NA,NA,NA,NA,NA
9152017HBA10,sample,single,A,9,HickoryBottoms,20250,5,NA,NA,4,FALSE,4
9152017HBA2,sample,single,A,9,HickoryBottoms,26582,24,NA,NA,NA,NA,NA
9152017HBA3,sample,single,A,9,HickoryBottoms,37469,23,NA,NA,87,FALSE,87
9152017HBA4,sample,single,A,9,HickoryBottoms,48327,16,NA,8,NA,FALSE,8
9152017HBA5,sample,single,A,9,HickoryBottoms,14463,23,NA,7863,NA,FALSE,7863
9152017HBA6,sample,single,A,9,HickoryBottoms,53697,38,NA,NA,NA,NA,NA
9152017HBA7,sample,single,A,9,HickoryBottoms,68917,38,NA,NA,NA,NA,NA
9152017HBA8,sample,single,A,9,HickoryBottoms,46588,26,NA,352,NA,FALSE,352
9152017HBA9,sample,single,A,9,HickoryBottoms,38564,41,NA,NA,NA,NA,NA
9152017HBB1,sample,single,B,9,HickoryBottoms,35130,50,NA,24,NA,FALSE,24
9152017HBB10,sample,single,B,9,HickoryBottoms,33937,15,NA,NA,NA,NA,NA
9152017HBB2,sample,single,B,9,HickoryBottoms,23159,42,NA,6816,NA,FALSE,6816
9152017HBB3,sample,single,B,9,HickoryBottoms,37521,35,NA,62,NA,FALSE,62
9152017HBB4,sample,single,B,9,HickoryBottoms,36343,50,NA,110,NA,FALSE,110
9152017HBB5,sample,single,B,9,HickoryBottoms,22406,43,NA,495,NA,FALSE,495
9152017HBB6,sample,single,B,9,HickoryBottoms,26104,20,NA,1786,NA,FALSE,1786
9152017HBB7,sample,single,B,9,HickoryBottoms,33537,20,NA,NA,NA,NA,NA
9152017HBB8,sample,single,B,9,HickoryBottoms,32467,75,NA,9773,NA,FALSE,9773
9152017HBB9,sample,single,B,9,HickoryBottoms,20166,33,NA,129,NA,FALSE,129
9152017HBD1,sample,single,D,9,HickoryBottoms,26625,54,NA,447,NA,FALSE,447
9152017HBD10,sample,single,D,9,HickoryBottoms,86695,18,NA,NA,NA,NA,NA
9152017HBD2,sample,single,D,9,HickoryBottoms,33357,42,NA,22,NA,FALSE,22
9152017HBD3,sample,single,D,9,HickoryBottoms,31533,13,NA,83,NA,FALSE,83
9152017HBD4,sample,single,D,9,HickoryBottoms,33135,38,NA,NA,NA,NA,NA
9152017HBD5,sample,single,D,9,HickoryBottoms,30416,17,NA,NA,NA,NA,NA
9152017HBD6,sample,single,D,9,HickoryBottoms,24344,25,NA,NA,NA,NA,NA
9152017HBD7,sample,single,D,9,HickoryBottoms,89993,27,NA,106,NA,FALSE,106
9152017HBD8,sample,single,D,9,HickoryBottoms,22220,35,NA,846,NA,FALSE,846
9152017HBD9,sample,single,D,9,HickoryBottoms,17562,24,NA,426,NA,FALSE,426
9152017HBPoolA1,sample,pool,A,9,HickoryBottoms,25860,57,NA,4,7,TRUE,11
9152017HBPoolA2,sample,pool,A,9,HickoryBottoms,27335,57,NA,12,11,TRUE,23
9152017HBPoolA3,sample,pool,A,9,HickoryBottoms,32408,64,NA,4,9,TRUE,13
9152017HBPoolA4,sample,pool,A,9,HickoryBottoms,20976,56,NA,10,12,TRUE,22
9152017HBPoolB1,sample,pool,B,9,HickoryBottoms,14603,37,NA,NA,NA,NA,NA
9152017HBPoolB2,sample,pool,B,9,HickoryBottoms,24559,50,NA,6,NA,FALSE,6
9152017HBPoolB3,sample,pool,B,9,HickoryBottoms,24647,41,NA,NA,NA,NA,NA
9152017HBPoolB4,sample,pool,B,9,HickoryBottoms,21285,43,NA,NA,NA,NA,NA
blankS39,control,control,control,NA,control,28881,35,NA,80,NA,FALSE,80
ExtractionNTC11S115,control,control,control,NA,control,42444,1,NA,NA,NA,NA,NA
ExtractionNTC1S1,control,control,control,NA,control,47645,31,198,577,52,TRUE,827
ExtractionNTC2S10,control,control,control,NA,control,28330,6,NA,NA,NA,NA,NA
ExtractionNTC3S19,control,control,control,NA,control,37160,5,NA,NA,NA,NA,NA
ExtractionNTC4S28,control,control,control,NA,control,31395,7,12789,2512,NA,TRUE,15301
ExtractionNTC7S55,control,control,control,NA,control,43330,6,NA,NA,NA,NA,NA
ExtractionNTC8S64,control,control,control,NA,control,40253,33,NA,79,NA,FALSE,79
