Feature ID	Taxon	Consensus
31e90575c8edb1aae64abe89c6690da9	Animalia;Arthropoda;Insecta;Blattodea;Ectobiidae;Parcoblatta;Parcoblatta uhleriana	1.0
d44281dde85ad34af3ef895d429ce7a3	Unassigned	1.0
c4afba60302c265bd32b9ef5846b7377	Unassigned	1.0
23c439f50caa659bb3b6d19b69bda39f	Animalia;Arthropoda;Insecta;Diptera;Culicidae;Psorophora;Psorophora ferox	1.0
5f055611e2c5f50c90a5261d77d0a9a8	Animalia;Arthropoda;Insecta;Trichoptera;Hydropsychidae;Cheumatopsyche;Cheumatopsyche analis	1.0
d50de33588f7ba0f6397e3feb5180363	Animalia;Arthropoda;Insecta;Diptera;Mycetophilidae;Zygomyia;	1.0
9aae113ec5882ea7cae162ee88294a50	Unassigned	1.0
fec295f0ef64b33e49e7024eae3c4586	Animalia;Arthropoda;Insecta;Coleoptera;Cantharidae;Rhagonycha;Rhagonycha imbecillis	1.0
bcc3c4e4f35fd4a5fc47bd195c08abef	Unassigned	1.0
a9bccdad11fed67f692e79623945b404	Animalia;Arthropoda;Arachnida;Araneae;Araneidae;Araneus;Araneus guttulatus	1.0
9e72ab47c8f354c452b22712041bb8eb	Unassigned	1.0
1bc4636504cd5c17aba61eed5eb99ee1	Animalia;Arthropoda;Insecta;Hemiptera;Derbidae;Apache;Apache degeerii	1.0
607ccc05efd07058b23dbc13000758bb	Unassigned	1.0
eb44ed3a034b445b277cb419b2f3f8f6	Unassigned	1.0
e476f0e0b19cc76e9bf92ba83600131a	Animalia;Arthropoda;Insecta;Lepidoptera;Tortricidae;Aethes;Aethes angulatana	1.0
8191a93f1a5a8cdde8cda9f673a3de40	Unassigned	1.0
75ee6aad1a16fa358fc464ac3c2d5911	Unassigned	1.0
e0980915a79f4fb13579191c68241bd2	Unassigned	1.0
4870980ae7d093ec7b9fd7ff0b30f953	Unassigned	1.0
8167c79beb19550d55cd77ce7425c083	Animalia;Arthropoda;Insecta;Trichoptera;Leptoceridae;Triaenodes;Triaenodes aba	1.0
